Region,Stages,Gene_Symbol
6W only,6W,NKAPL
6W only,6W,NLRP14
6W only,6W,NME5
6W only,6W,NME8
6W only,6W,NPAS1
6W only,6W,NSUN2
6W only,6W,NUP62
6W only,6W,OAZ3
6W only,6W,ODF1
6W only,6W,ODF2
6W only,6W,ODF3
6W only,6W,ODF4
6W only,6W,OPRL1
6W only,6W,OSBP2
6W only,6W,OVOL1
6W only,6W,OVOL2
6W only,6W,PAQR5
6W only,6W,PAQR8
6W only,6W,PARK7
6W only,6W,PCDHGA4
6W only,6W,PCDHGA9
6W only,6W,PCNA
6W only,6W,PCSK4
6W only,6W,PDILT
6W only,6W,PGAM2
6W only,6W,PIAS1
6W only,6W,PICK1
6W only,6W,PIWIL1
6W only,6W,PKDREJ
6W only,6W,PKMYT1
6W only,6W,PLA2G10
6W only,6W,PLA2G6
6W only,6W,PLB1
6W only,6W,PLCD4
6W only,6W,PLCZ1
6W only,6W,PLD6
6W only,6W,PLK4
6W only,6W,PRKAR2A
6W only,6W,PRM1
6W only,6W,PRM2
6W only,6W,PRM3
6W only,6W,PRMT7
6W only,6W,PRND
6W only,6W,PROK2
6W only,6W,PRPS1L1
6W only,6W,PRSS21
6W only,6W,PRSS37
6W only,6W,PRSS55
6W only,6W,PSMA8
6W only,6W,PSMC3IP
6W only,6W,PSME4
6W only,6W,PTEN
6W only,6W,PTGDR2
6W only,6W,PTTG1
6W only,6W,QRICH2
6W only,6W,RAD51AP1
6W only,6W,RAI14
6W only,6W,RFX2
6W only,6W,RHBDD1
6W only,6W,RIMBP3
6W only,6W,RNF151
6W only,6W,RNF38
6W only,6W,ROBO2
6W only,6W,ROPN1
6W only,6W,ROPN1L
6W only,6W,ROS1
6W only,6W,RPA1
6W only,6W,RPL39L
6W only,6W,RSPH1
6W only,6W,RSPH6A
6W only,6W,SCMH1
6W only,6W,SEPTIN12
6W only,6W,SEPTIN4
6W only,6W,SERPINB5
6W only,6W,SFMBT1
6W only,6W,SHCBP1L
6W only,6W,SIRT2
6W only,6W,SLC26A8
6W only,6W,SLC2A8
6W only,6W,SLC38A3
6W only,6W,SLC9B1
6W only,6W,SLC9B2
6W only,6W,SLC9C1
6W only,6W,SLX4
6W only,6W,SMC4
6W only,6W,SMCP
6W only,6W,SORD
6W only,6W,SOX30
6W only,6W,SPACA1
6W only,6W,SPACA3
6W only,6W,SPACA6
6W only,6W,SPACA7
6W only,6W,SPAG1
6W only,6W,SPAG16
6W only,6W,SPAG4
6W only,6W,SPAG8
6W only,6W,SPAM1
6W only,6W,SPATA16
6W only,6W,SPATA19
6W only,6W,SPATA20
6W only,6W,SPATA24
6W only,6W,SPATA25
6W only,6W,SPATA31A5
6W only,6W,SPATA31D1
6W only,6W,SPATA31D3
6W only,6W,SPATA31E1
6W only,6W,SPATA32
6W only,6W,SPATA46
6W only,6W,SPATA6
6W only,6W,SPATA6L
6W only,6W,SPATA9
6W only,6W,SPATC1L
6W only,6W,SPEF2
6W only,6W,SPEM1
6W only,6W,SPESP1
6W only,6W,SPIRE2
6W only,6W,SPTBN4
6W only,6W,SRPK1
6W only,6W,STK11
6W only,6W,STK35
6W only,6W,STOX2
6W only,6W,SUN1
6W only,6W,SUN5
6W only,6W,SYCE1
6W only,6W,SYCE1L
6W only,6W,SYCE3
6W only,6W,TACR2
6W only,6W,TBATA
6W only,6W,TBC1D20
6W only,6W,TBC1D21
6W only,6W,TBP
6W only,6W,TBPL1
6W only,6W,TCFL5
6W only,6W,TCP1
6W only,6W,TCP11
6W only,6W,TCP11X2
6W only,6W,TCTE1
6W only,6W,TDRD12
6W only,6W,TDRD6
6W only,6W,TDRD7
6W only,6W,TDRP
6W only,6W,TEKT1
6W only,6W,TEKT2
6W only,6W,TEKT3
6W only,6W,TEKT4
6W only,6W,TEKT5
6W only,6W,TESK1
6W only,6W,TESK2
6W only,6W,TESMIN
6W only,6W,THEG
6W only,6W,TIMP4
6W only,6W,TMEM95
6W only,6W,TMF1
6W only,6W,TMPRSS12
6W only,6W,TNP1
6W only,6W,TNP2
6W only,6W,TOPAZ1
6W only,6W,TPGS1
6W only,6W,TPPP2
6W only,6W,TRIM27
6W only,6W,TRIM28
6W only,6W,TRPC7
6W only,6W,TSNAXIP1
6W only,6W,TSPY1
6W only,6W,TSSK1B
6W only,6W,TSSK2
6W only,6W,TSSK3
6W only,6W,TSSK4
6W only,6W,TSSK6
6W only,6W,TTC12
6W only,6W,TTC21A
6W only,6W,TTC26
6W only,6W,TTLL1
6W only,6W,TTLL9
6W only,6W,TUBG1
6W only,6W,TXNDC2
6W only,6W,TXNDC8
6W only,6W,TXNRD3
6W only,6W,UBB
6W only,6W,UBE2J1
6W only,6W,UBXN8
6W only,6W,USP42
6W only,6W,VASH2
6W only,6W,VDAC2
6W only,6W,WDR19
6W only,6W,WDR48
6W only,6W,WNT9B
6W only,6W,XRCC2
6W only,6W,YBX2
6W only,6W,YBX3
6W only,6W,ZMYND15
6W only,6W,ZPBP
6W only,6W,ZPBP2
6W only,6W,ZSCAN2
6W only,6W,ABRAXAS2
6W only,6W,ACTR10
6W only,6W,AGBL4
6W only,6W,AGTPBP1
6W only,6W,AHCTF1
6W only,6W,ALMS1
6W only,6W,ANKRD53
6W only,6W,AP3D1
6W only,6W,AP3M2
6W only,6W,APBA1
6W only,6W,ARHGEF2
6W only,6W,ARL2
6W only,6W,ARL3
6W only,6W,ARL8B
6W only,6W,ARMC4
6W only,6W,ATXN3
6W only,6W,BAG3
6W only,6W,BBS12
6W only,6W,BORCS5
6W only,6W,BRSK1
6W only,6W,C2CD3
6W only,6W,CAMSAP1
6W only,6W,CAMSAP2
6W only,6W,CCDC103
6W only,6W,CCDC114
6W only,6W,CCDC13
6W only,6W,CCDC151
6W only,6W,CCDC187
6W only,6W,CCDC57
6W only,6W,CCDC65
6W only,6W,CCDC66
6W only,6W,CCDC88A
6W only,6W,CCDC88B
6W only,6W,CCP110
6W only,6W,CCSAP
6W only,6W,CCSER2
6W only,6W,CDC14A
6W only,6W,CDC14B
6W only,6W,CDCA8
6W only,6W,CDK5RAP2
6W only,6W,CENPJ
6W only,6W,CENPN
6W only,6W,CENPO
6W only,6W,CENPP
6W only,6W,CENPU
6W only,6W,CEP120
6W only,6W,CEP126
6W only,6W,CEP19
6W only,6W,CEP295
6W only,6W,CEP295NL
6W only,6W,CEP350
6W only,6W,CEP63
6W only,6W,CEP70
6W only,6W,CEP72
6W only,6W,CEP76
6W only,6W,CETN1
6W only,6W,CFAP100
6W only,6W,CFAP221
6W only,6W,CFAP298
6W only,6W,CFAP53
6W only,6W,CFAP70
6W only,6W,CFAP73
